country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.222 (0.199 - 0.245),6.2% (5.3% - 7.2%),16.11 (13.85 - 18.73),23796,348000 (308000 - 396000)
United_Kingdom,0.483 (0.436 - 0.53),2.8% (2.5% - 3.3%),35.1 (30.27 - 40.63),3878,120000 (106000 - 136000)
Switzerland,0.069 (0.051 - 0.09),19.9% (14.9% - 27.2%),5.02 (3.67 - 6.72),4718,24500 (20000 - 30100)
Spain,0.493 (0.473 - 0.513),2.8% (2.5% - 3.1%),35.86 (31.97 - 40.36),19173,875000 (784000 - 979000)
South_Korea,0.014 (0.01 - 0.02),97.5% (68.6% - 100.0%),1.03 (1 - 1.46),735,747 (735 - 810)
Philippines,0.414 (0.283 - 0.559),3.3% (2.4% - 4.9%),30.09 (20.21 - 41.54),269,12300 (9850 - 15100)
Netherlands,0.26 (0.223 - 0.301),5.3% (4.4% - 6.4%),18.92 (15.7 - 22.72),2672,41400 (35900 - 47900)
Japan,0.048 (0.027 - 0.076),29.0% (17.9% - 52.0%),3.45 (1.92 - 5.58),266,1230 (940 - 1580)
Italy,0.351 (0.342 - 0.361),3.9% (3.5% - 4.4%),25.54 (22.83 - 28.59),35828,956000 (857000 - 1070000)
Iraq,0.208 (0.102 - 0.349),6.6% (3.9% - 13.5%),15.11 (7.41 - 25.8),129,1300 (841 - 1940)
Iran,0.154 (0.145 - 0.163),8.9% (7.9% - 10.1%),11.21 (9.9 - 12.69),7881,86700 (77400 - 97300)
Germany,0.036 (0.028 - 0.046),38.1% (29.3% - 50.5%),2.63 (1.98 - 3.42),17668,40100 (33200 - 48600)
France,0.22 (0.203 - 0.238),6.3% (5.5% - 7.1%),15.99 (14.04 - 18.34),9960,153000 (136000 - 172000)
China,0.146 (0.115 - 0.181),9.4% (7.4% - 12.2%),10.63 (8.2 - 13.44),504,3640 (3080 - 4290)
