country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.101 (0.099 - 0.104),13.6% (12.1% - 15.2%),7.37 (6.6 - 8.25),187572,1590000 (1420000 - 1770000)
United_Kingdom,0.433 (0.422 - 0.444),3.2% (2.8% - 3.6%),31.49 (28.15 - 35.18),24814,734000 (657000 - 820000)
Turkey,0.131 (0.119 - 0.144),10.5% (9.1% - 12.1%),9.53 (8.28 - 10.97),16532,199000 (177000 - 224000)
Switzerland,0.067 (0.061 - 0.074),20.4% (17.8% - 23.5%),4.89 (4.25 - 5.62),7337,33900 (30200 - 38200)
Sweden,0.22 (0.197 - 0.243),6.3% (5.4% - 7.3%),15.97 (13.74 - 18.55),2996,41700 (36800 - 47300)
Spain,0.177 (0.173 - 0.181),7.8% (6.9% - 8.7%),12.9 (11.54 - 14.39),52488,978000 (876000 - 1090000)
South_Korea,0.045 (0.031 - 0.061),30.7% (22.1% - 44.7%),3.25 (2.24 - 4.53),654,2550 (2110 - 3070)
Romania,0.166 (0.139 - 0.194),8.3% (6.8% - 10.2%),12.02 (9.78 - 14.69),2161,28300 (24600 - 32600)
Portugal,0.068 (0.058 - 0.078),20.3% (17.0% - 24.4%),4.93 (4.09 - 5.89),5354,38900 (34200 - 44300)
Poland,0.079 (0.061 - 0.098),17.5% (13.7% - 23.1%),5.72 (4.33 - 7.33),1989,9610 (8140 - 11300)
Philippines,0.168 (0.135 - 0.204),8.2% (6.6% - 10.4%),12.21 (9.61 - 15.25),2019,33900 (28900 - 39700)
Peru,0.165 (0.128 - 0.206),8.4% (6.5% - 11.0%),11.95 (9.09 - 15.37),1075,9730 (8130 - 11600)
Panama,0.064 (0.044 - 0.089),21.4% (15.1% - 31.8%),4.66 (3.15 - 6.64),900,6220 (5120 - 7480)
Norway,0.02 (0.014 - 0.028),67.7% (48.0% - 100.0%),1.48 (1 - 2.08),1665,2350 (1980 - 2810)
Netherlands,0.226 (0.214 - 0.239),6.1% (5.4% - 6.9%),16.45 (14.57 - 18.58),6865,133000 (119000 - 149000)
Morocco,0.203 (0.149 - 0.266),6.8% (5.1% - 9.4%),14.75 (10.63 - 19.78),561,12300 (10200 - 14800)
Mexico,0.163 (0.129 - 0.202),8.5% (6.6% - 11.0%),11.83 (9.12 - 15.11),1042,10400 (8680 - 12400)
Malaysia,0.029 (0.02 - 0.041),47.2% (33.2% - 70.1%),2.12 (1.43 - 3.01),1163,2500 (2050 - 3020)
